"examinee_id","true_theta","true_speed","true_group"
"E001",0.520589072918523,0.469842863052187,"normal"
"E002",-1.07969076235228,0.132148583862614,"normal"
"E003",0.139238115019273,-0.115373288226446,"normal"
"E004",-0.0847487849485765,0.528624841057113,"normal"
"E005",-0.666639615284596,-0.0181896109415443,"normal"
"E006",-2.51608903200946,-0.0859175606467509,"normal"
"E007",-0.735146797456677,0.05392180496726,"normal"
"E008",-1.02012226313509,-0.257999000034047,"normal"
"E009",0.113554441297307,0.0228287662116407,"normal"
"E010",-0.473790981840095,0.372473868618131,"normal"
"E011",-0.408214704337928,0.0814653809105054,"normal"
"E012",-0.730433278593614,0.650318449379885,"normal"
"E013",-0.221436599406174,-0.237342383488282,"normal"
"E014",-0.225816524428951,-0.123427632822379,"normal"
"E015",-2.5468814461283,0.534579331411722,"normal"
"E016",1.34700149929703,-0.482585637809933,"normal"
"E017",0.616408145849969,-0.563552723080496,"rapid_guessing"
"E018",0.217564338307888,0.257769849501658,"normal"
"E019",-0.804718830400263,-0.163546971593842,"normal"
"E020",0.68974677762582,-0.391694547929994,"normal"
"E021",-0.32867201409024,-0.370892486567703,"normal"
"E022",-0.16468157692584,0.317081647414048,"normal"
"E023",-1.3920288797713,-0.275639614390116,"normal"
"E024",1.46582476120139,-0.0166606561686225,"answer_change"
"E025",0.0482068082254438,-0.314247510807859,"normal"
"E026",1.90808383464199,0.17378218346564,"rapid_guessing"
"E027",1.73094452723732,-0.266226760738643,"rapid_guessing"
"E028",0.0581458372592962,0.179974452027938,"normal"
"E029",0.645328161775171,-0.219216185380862,"rapid_guessing"
"E030",1.7256289865063,0.742774764832491,"normal"
"E031",-0.528966917456246,0.1608312484463,"normal"
"E032",0.166392025612551,-0.745841274224231,"normal"
"E033",-0.254723574763946,0.549972208189053,"normal"
"E034",0.332782359437909,-0.0298414022161493,"rapid_guessing"
"E035",0.182432812827635,0.0911175598846559,"normal"
"E036",2.414593749518,0.555462477293332,"mixed_fast_high_ability"
"E037",0.593492850727868,0.162328850940163,"normal"
"E038",-0.891779729217369,1.02454703947282,"normal"
"E039",0.577253310357403,-0.210533827917499,"normal"
"E040",-0.824905581058043,0.140962957508277,"normal"
"E041",-1.15725385762344,0.190064456516532,"normal"
"E042",0.777998774006214,0.316762043403722,"normal"
"E043",-1.20422178597307,0.332508411880308,"answer_change"
"E044",0.30671410214768,0.219479171938497,"normal"
"E045",-0.833658540642056,-0.496909992371206,"normal"
"E046",1.41814116350375,-0.165348132737396,"normal"
"E047",0.711786117850718,0.0284154741445493,"normal"
"E048",-0.402497722862373,-0.197708727228675,"normal"
"E049",0.799362218714509,0.128857307197477,"normal"
"E050",0.426484435556948,-0.318571653750282,"rapid_guessing"
"E051",-1.16989866993562,0.362846512554664,"preknowledge"
"E052",-0.206200160293019,0.0830156601391924,"normal"
"E053",-0.930610309243612,0.219136962001894,"normal"
"E054",0.449397565791737,-0.0886781137199759,"rapid_guessing"
"E055",-0.644806454562313,-0.272718872871202,"normal"
"E056",-0.231422689810958,0.583942827895632,"normal"
"E057",-1.23636801144537,-0.345003155035466,"normal"
"E058",-0.960955298223015,-0.320153542063107,"normal"
"E059",1.38395628156956,-0.274056786321268,"mixed_fast_high_ability"
"E060",-0.999052722969284,0.728529053642712,"normal"
"E061",-0.141470690813213,-0.0418976882384758,"normal"
"E062",0.167329899648813,0.444589810717903,"answer_change"
"E063",-0.198788612671681,-0.411008837709656,"preknowledge"
"E064",-0.291207188092097,-0.169649433250278,"rapid_guessing"
"E065",-0.484397034249288,-0.0636597672711135,"mixed_fast_high_ability"
"E066",-0.272728331732604,0.263268336789065,"normal"
"E067",-1.79992948169682,-0.121385822592837,"normal"
"E068",1.15274097680304,0.278625120753066,"normal"
"E069",-1.003319485592,0.045108904597238,"preknowledge"
"E070",0.148210044292539,0.0721026245595607,"normal"
"E071",0.519496680749176,0.848481772286961,"normal"
"E072",0.00543629447576128,-0.27089806307278,"normal"
"E073",1.34702083465394,0.390111854753694,"normal"
"E074",-0.847033417295996,0.438935447490564,"normal"
"E075",0.443398017315772,0.666954321523132,"normal"
"E076",-0.977149468323314,0.129647941390926,"normal"
"E077",2.12449113551361,0.100313981867315,"normal"
"E078",0.687698960561541,0.0613236574722346,"normal"
"E079",-0.343368220180396,0.286091722398409,"normal"
"E080",0.785169472673946,0.244216647664529,"normal"
