"","I01","I02","I03","I04","I05","I06","I07","I08","I09","I10","I11","I12","I13","I14","I15","I16","I17","I18","I19","I20","I21","I22","I23","I24","I25","I26","I27","I28","I29","I30","I31","I32","I33","I34","I35","I36","I37","I38","I39","I40"
"E001",34.3683775567532,10.1998935328786,13.1944931674001,45.1490193323536,15.62288278697,14.8010848667498,7.19281194631941,20.349685243806,24.4572081169806,22.1199044506158,13.1152324440782,20.2141844476524,15.9578351617335,25.7907204174588,22.5391700085333,26.3948200510714,30.9689778095389,17.7401206375933,18.4744675515635,19.449938901599,46.0748270452251,23.4427898998448,21.9695698160325,15.0745138005997,15.1270920222573,32.1265616970979,13.6538620149022,30.6966765717256,16.9185510883002,15.8710869564837,14.7905507022922,23.4153367094956,25.8847206693658,25.3987163674107,16.6124535067394,17.5926177933794,21.0642164473937,15.327607144081,19.9153377905381,23.0797970300703
"E002",19.5468784704317,21.4180152648945,18.2081549277043,37.5300694633904,17.5152152998637,23.897592831229,20.7035489815768,33.8140780951366,20.3262748882075,40.9582249111984,15.9125836418474,37.6886469850742,17.8899233778946,20.2085050694263,40.4982892543334,33.470815710484,47.9617976620377,41.7196555398779,25.32382447864,21.7279477592619,29.5895909883846,38.0422200901759,26.2017243930626,16.339474187796,19.9797004856872,40.012738539391,30.3967662889459,28.6376852233553,18.4813132453315,42.1978131602518,25.2223091307959,38.4304268884871,49.2131057606118,21.288698100776,29.7337124764518,27.9047724353733,48.3026625898425,41.5362447523006,34.357613112165,28.7861222401894
"E003",36.0340073611781,38.0260067700967,23.7070074272112,39.023891978659,26.9616991550446,37.3109566819831,41.7422688122494,44.6772419531698,38.9990054207058,30.632806397117,23.0668345053393,37.3332530549692,29.9877300414258,21.3292490474595,48.0420906093865,66.058943766903,48.3327289425516,40.3531384890107,45.2598681800453,50.1240304954346,31.1957257533866,88.3938880704517,20.3101429101545,31.5770335759995,22.281313854572,35.6338681638469,27.8743473081464,42.9045472813872,16.0861915634993,31.8102857803387,32.3536136104114,55.5669470319613,41.0478206129784,24.281503160078,37.2654461716843,26.5272214949941,33.8837903339548,47.6604125603167,25.5369533453837,28.9512851163818
"E004",13.3140963032667,12.748784739136,18.6394098564958,21.4715798442711,12.5853289648875,17.4458448230514,13.7575553671982,11.9942259142276,12.7387102912846,23.49898511005,6.24985012615837,21.6770650974339,16.173157225041,13.9142469305316,26.7572567999278,27.293769706325,31.7490984631935,12.4102660713771,13.0998933372435,19.9331603634232,28.3838343747267,21.3090104819252,12.6601956754579,12.9777839410522,15.1377484544679,12.5125851555361,10.7142224413942,17.2607514648275,10.9943022830625,17.6662030004246,18.5417804922055,18.6629925909659,35.0414056691195,22.6704760400545,12.0053901721804,11.8000185848607,25.1924954466026,24.3846166888144,19.7054487152426,20.2245658672815
"E005",22.679951900648,25.0588741964096,27.9850982579004,27.2445016107669,19.5183574925365,21.6194483535308,24.8077920264203,28.3761530392587,38.6437106262714,20.5602766739081,18.2307885710728,42.1524968628006,22.2647196983854,39.6046927737226,31.5166158983336,49.7437693737427,38.6363720164084,23.351787254345,37.3050993712592,24.3209569312696,25.1976424412757,53.0012629156222,39.4437960065927,18.4960496944309,25.0946348925597,45.4136396998333,32.4563939399413,81.7198170330988,13.8247022677792,27.0106680864781,25.4360290612196,31.1142968717295,43.1092500205066,23.178528816554,29.0814652457912,25.8536413447299,40.2212825813212,24.4789972621708,22.0662705432877,42.6303042520299
"E006",25.689156192743,32.3079413998311,25.3212001080085,46.303103909381,23.4403123164278,46.8750506093202,30.6889934759821,39.3063087379898,46.7822503581107,30.5347177696599,27.7276726958147,34.6539825965536,28.9963315069862,32.8923096656202,39.097515039689,65.1029830363902,29.7453920409303,35.1432692624391,28.0240602576472,57.6433016054866,29.1201992951332,51.1156242440088,14.507333014987,28.7366178806878,31.7352383869806,35.8737410448876,42.1029163123204,37.8455779135506,23.5269493887389,27.9183373018897,24.7507966115278,24.9994434586395,66.8225522159664,45.966224982629,33.2023287141978,32.4943032005575,51.587757835061,33.1155423887309,18.7439142196451,31.2383293940398
"E007",29.2215867297351,17.8617747396605,30.3872172582973,28.7301471769345,18.2495856255844,29.5350142885325,32.9003875922671,30.944711308399,43.3979979162837,21.3843154088858,27.9566883724899,32.9263631734104,20.395913715444,22.0488549020215,57.3974059785237,61.7151967351567,38.7622541032959,35.8348312562162,19.9714845850044,45.1121596194342,22.989615577641,43.4460996509634,32.9467531149724,17.2660072548919,27.0504057346367,26.988225177722,17.8965451036346,34.6276394045993,19.6863289008498,40.3254406002695,22.6077989650794,23.3811292323999,84.4645236226957,30.429316238089,24.5269733785998,21.5107981521892,39.6230915175117,38.9146690232842,15.341788190786,29.0687668581869
"E008",24.325267809746,26.6523074084998,25.0754537602396,60.6941518150848,33.7438177292395,21.7766159432318,41.0128813916438,37.1655638246418,59.4153221537558,34.5957257078945,21.081615547199,31.3512766868336,22.9470206544167,34.6575175735792,77.5151776521408,89.5488012218069,32.8128524388092,35.1247312492671,25.5990419826973,55.0664090579441,31.5068985707127,35.7289969465499,24.7863788699135,25.2552365411457,36.2984744722847,56.6656340317033,35.2384744974096,54.6016982875923,28.3585957560617,39.3177829289569,26.8206541026101,36.9604730778342,38.841640185993,40.0043959500909,44.1331831973987,35.5424197588196,26.6284601787371,39.9552815842956,20.7836301762186,44.4857725462959
"E009",24.8981784633661,25.5486647866254,31.0915952515147,46.404438915364,16.343716924568,24.9349041339341,24.2901095859187,28.5312292835369,27.5802461959553,25.7766902874096,18.0234384351399,37.6594989812925,31.1591152936349,25.8658682341423,38.1784840818091,34.6317094237459,57.1652450057777,39.8114109451043,20.44578784169,30.101019054074,45.1976748771396,29.2340873218773,30.3746485209951,21.3682137844114,27.2420690716246,41.9530143527988,26.4217376728697,42.7827430855357,24.3289007807756,31.195122562486,33.2850769502982,32.5989465499783,47.2904945119373,29.9069927994777,21.0083382492329,31.2007277322806,52.8537495879097,54.6628095361244,35.4140417412729,32.6941706605975
"E010",25.0394879158151,17.7461281026061,16.8811670711925,18.5982358477923,12.8429062029027,18.9366072763518,21.698154116984,18.5734587888689,34.1075340621642,27.7900273582573,11.5979302005541,21.7443866646968,32.3180610076514,10.5674809185466,35.1134597038384,23.8775268711414,22.4381495048328,27.3835401300985,19.8393448681785,18.1523872836864,40.2524986053344,19.4444631528822,13.3073436422809,16.8206398512859,15.4652507210905,23.7830213217605,17.4307443137871,26.2141182365232,17.1146195149073,15.2974468496972,20.4536768429544,15.3440802221519,30.4338534471857,25.5566386684856,12.9417750983138,32.2308301136535,18.6935323895329,26.2450447872526,15.9124634302054,27.973157267423
"E011",24.4481505853148,22.7983710024012,23.4378968419176,43.4161789127577,24.0097761619289,37.6905708468255,15.5459665754642,40.2280821877163,31.5652178122101,26.0208160183848,14.1084958115624,25.6315769564497,18.0998378278024,29.1123745874551,33.2260506407789,50.1874776202191,30.2794104918459,26.1208784300857,30.8793418480373,43.8083048681679,50.0047137086874,35.5042352212951,17.2265487591471,21.1474300886206,15.4760407836817,18.3295489619559,19.215920412349,26.158065010556,17.9711289061399,31.2598318682134,23.7811413539799,45.0300248634162,33.7290123156634,29.4582797260385,30.0278667671131,19.3136848951465,31.4936187011636,36.7139375646846,31.6802957814998,28.4483455455612
"E012",33.7323333587929,18.6826766186691,11.0545237273179,24.6622073517317,14.4902224902728,11.4672041439551,16.8038561549518,15.8380558099004,13.0147036259507,13.0444091234005,9.97896424348794,13.4635450900689,15.0742798515376,11.7431011530251,23.7551136162378,32.5540043240205,20.9249904754387,23.0730484686937,15.2904416257118,11.9487670564056,11.1610682301565,17.5134501404839,9.39525676630278,11.8086926254658,18.657328799077,16.1486892095326,8.45274546115441,22.7807392524823,6.27019512483767,15.140853261782,11.8607744732548,17.0437204884963,21.6346245152027,17.8966949579456,22.5839404421755,16.3188914939652,23.3945476740662,21.869545082324,10.8204227283996,23.7592819959695
"E013",29.7384007188626,30.3641352271126,38.5046919000039,54.8504287273203,21.3915918364375,31.7402134466992,29.1990104137116,35.8066728708335,38.130722339455,43.1506328444717,15.212596760983,29.09756637065,26.7582718052801,35.4235089203713,84.2446564328112,70.7175855516553,55.5102096260968,37.775681551037,26.8923192747228,39.1451642543685,66.8681454599983,32.9115117420138,18.6713656442758,27.5009384979413,28.4414082671585,39.1496799165151,18.2684598632315,50.7668816945787,25.8034325448102,54.4021028250163,24.2442980695423,31.5541744890363,59.9297910468072,35.0532713446994,31.9182907878095,19.2259907129985,43.1725738791213,58.4251572448729,24.730175635185,39.9783312139436
