function,method,domain,role,required_data,package_output,package_flag,flag_type,evidence_use,threshold_rule,threshold_source,notes,data_basis,aggregation_family,correction_variant,variant_treatment
detect_rg,CT,RT,supporting,t,"thr,flag,rte,rtf,unmotivated",partial,rt_threshold_flag,Flag,"Use package-returned threshold flag from CT, NT, or CUMP.",aberrance response-time threshold method and selected threshold arguments.,Custom response-time threshold,summary,rg_CT,none,single_index
detect_rg,CUMP,RT,supporting,"t, x","thr,flag,rte,rtf,unmotivated",partial,rt_threshold_flag,Flag,"Use package-returned threshold flag from CT, NT, or CUMP.",aberrance response-time threshold method and selected threshold arguments.,Cumulative-proportion rapid-response threshold,score,rg_CUMP,none,single_index
detect_rg,NT,RT,supporting,t,"thr,flag,rte,rtf,unmotivated",partial,rt_threshold_flag,Flag,"Use package-returned threshold flag from CT, NT, or CUMP.",aberrance response-time threshold method and selected threshold arguments.,Normative response-time threshold,summary,rg_NT,none,single_index
detect_rg,RTE,RT,supporting,threshold output,rte,no,external_threshold_required,Rule Flag,RTE meets documented program cutoff,program calibration required,Person-level response-time effort summary,response,rg_RTE,none,single_index
detect_rg,RTF,RT,auxiliary,threshold output,rtf,no,auxiliary_only,Support Only,No independent flag.,YAML / program rule,Item-level response-time fidelity,response,rg_RTF,none,single_index
detect_rg,VI,RT,auxiliary,t,plots,no,auxiliary_only,Support Only,No independent flag.,none,Visual inspection only,summary,rg_VI,none,single_index
detect_rg,VITP,RT,auxiliary,"t, x",plots,no,auxiliary_only,Support Only,No independent flag.,none,Visual inspection with proportion correct,score,rg_VITP,none,single_index
detect_rg,unmotivated,RT,auxiliary,threshold output,unmotivated,no,auxiliary_only,Support Only,No independent flag.,YAML / program rule,Person/item label derived from threshold output,response,rg_unmotivated,none,single_index
detect_pm,ECI2_S_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW,MF,supporting,"psi, x","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Second standardized extended caution index | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.,score,pm_ECI2_S,NO / CF / CS / EW / TS / TSCF / TSCS / TSEW,family_level_signal
detect_pm,ECI4_S_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW,MF,supporting,"psi, x","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Fourth standardized extended caution index | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.,score,pm_ECI4_S,NO / CF / CS / EW / TS / TSCF / TSCS / TSEW,family_level_signal
detect_pm,L_RT_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW,MF,supporting,"psi, r, y","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Response-time standardized log-likelihood | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.,response_time,pm_L_RT,NO / CF / CS / EW / TS / TSCF / TSCS / TSEW,family_level_signal
detect_pm,L_R_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW,MF,supporting,"psi, r","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Response-based standardized log-likelihood | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.,response,pm_L_R,NO / CF / CS / EW / TS / TSCF / TSCS / TSEW,family_level_signal
detect_pm,L_ST_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW,MF,supporting,"psi, x, y","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Score-time standardized log-likelihood; correction variant selected in method name | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.,score_time,pm_L_ST,NO / CF / CS / EW / TS / TSCF / TSCS / TSEW,family_level_signal
detect_pm,L_S_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW,MF,supporting,"psi, x","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Score-based standardized log-likelihood | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.,score,pm_L_S,NO / CF / CS / EW / TS / TSCF / TSCS / TSEW,family_level_signal
detect_pm,L_T,MF,supporting,"psi, y","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,RT log-likelihood statistic | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.,time,pm_L_T,none,family_level_signal
detect_pm,Q_RT_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW,MF,supporting,"psi, r, y","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Combined response-time statistic | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.,response_time,pm_Q_RT,NO / CF / CS / EW / TS / TSCF / TSCS / TSEW,family_level_signal
detect_pm,Q_ST_NO / CF / CS / EW / TS / TSCF / TSCS / TSEW,MF,supporting,"psi, x, y","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Combined score-time statistic | Parametric person-fit evidence; data basis is retained separately. Correction variants collapse to one family-level MF signal.,score_time,pm_Q_ST,NO / CF / CS / EW / TS / TSCF / TSCS / TSEW,family_level_signal
detect_nm,A_S,MF,supporting,x,stat,no,external_threshold_required,Rule Flag,stat meets external cutoff,YAML / simulation / sample percentile,Agreement index; not for polytomous scores| Excluded from B3 until a calibrated threshold is configured.,score,nm_A_S,none,single_index
detect_nm,C_S,MF,supporting,x,stat,no,external_threshold_required,Rule Flag,stat meets external cutoff,YAML / simulation / sample percentile,Caution index; not for polytomous scores| Excluded from B3 until a calibrated threshold is configured.,score,nm_C_S,none,single_index
detect_nm,D_S,MF,supporting,x,stat,no,external_threshold_required,Rule Flag,stat meets external cutoff,YAML / simulation / sample percentile,Disagreement index; not for polytomous scores| Excluded from B3 until a calibrated threshold is configured.,score,nm_D_S,none,single_index
detect_nm,E_S,MF,supporting,x,stat,no,external_threshold_required,Rule Flag,stat meets external cutoff,YAML / simulation / sample percentile,Dependability index; not for polytomous scores| Excluded from B3 until a calibrated threshold is configured.,score,nm_E_S,none,single_index
detect_nm,G_S,MF,supporting,x,stat,no,external_threshold_required,Rule Flag,stat meets external cutoff,YAML / simulation / sample percentile,Guttman errors| Excluded from B3 until a calibrated threshold is configured.,score,nm_G_S,none,single_index
detect_nm,HT_S,MF,supporting,x,stat,no,external_threshold_required,Rule Flag,stat meets external cutoff,literature / simulation / calibration required,HT statistic; not for polytomous scores| Excluded from B3 until a literature-supported or study-calibrated cutoff is specified.,score,nm_HT_S,none,single_index
detect_nm,KL_T,MF,supporting,y,stat,no,external_threshold_required,Rule Flag,stat meets calibrated person-fit cutoff,YAML / simulation / person-fit baseline,RT Kullback-Leibler divergence| Excluded from B3 until a calibrated threshold is configured. | Time-based nonparametric person-fit evidence; not rapid-guessing scenario evidence.,time,nm_KL_T,none,single_index
detect_nm,MC_S,MF,supporting,x,stat,no,external_threshold_required,Rule Flag,stat meets external cutoff,YAML / simulation / sample percentile,Modified caution index; not for polytomous scores| Excluded from B3 until a calibrated threshold is configured.,score,nm_MC_S,none,single_index
detect_nm,NC_S,MF,supporting,x,stat,no,external_threshold_required,Rule Flag,stat meets external cutoff,YAML / simulation / sample percentile,Norm conformity; not for polytomous scores| Excluded from B3 until a calibrated threshold is configured.,score,nm_NC_S,none,single_index
detect_nm,PC_S,MF,supporting,x,stat,no,external_threshold_required,Rule Flag,stat meets external cutoff,YAML / simulation / sample percentile,Personal point-biserial; not for polytomous scores| Excluded from B3 until a calibrated threshold is configured.,score,nm_PC_S,none,single_index
detect_nm,U1_S,MF,supporting,x,stat,no,external_threshold_required,Rule Flag,stat meets external cutoff,YAML / simulation / sample percentile,U1 / G* statistic| Excluded from B3 until a calibrated threshold is configured.,score,nm_U1_S,none,single_index
detect_nm,U3_S,MF,supporting,x,stat,no,external_threshold_required,Rule Flag,stat meets external cutoff,YAML / simulation / sample percentile,U3 statistic| Excluded from B3 until a calibrated threshold is configured.,score,nm_U3_S,none,single_index
detect_nm,ZU3_S,MF,preferred_primary,x,stat,no,external_threshold_required,Rule Flag,stat meets external cutoff,literature / simulation / calibration required,Standardized U3; not available for polytomous scores| Excluded from B3 until a literature-supported or study-calibrated cutoff is specified.,score,nm_ZU3_S,none,single_index
detect_ac,GBT_R,SIM,supporting,"psi, r or estimated xi","stat,pval,flag",yes,package_pvalue_flag,Support Only,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,"Conditional GBT, response-based",response,ac_GBT_R,none,single_index
detect_ac,GBT_S,SIM,fallback_primary,"psi, x or estimated xi","stat,pval,flag",yes,package_pvalue_flag,Support Only,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,"Conditional generalized binomial test, score-based",response,ac_GBT_S,none,single_index
detect_ac,OMG_R,SIM,supporting,"psi, r or estimated xi","stat,pval,flag",yes,package_pvalue_flag,Support Only,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,"Conditional omega, response-based",response,ac_OMG_R,none,single_index
detect_ac,OMG_S,SIM,preferred_primary,"psi, x or estimated xi","stat,pval,flag",yes,package_pvalue_flag,Support Only,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,"Conditional omega, score-based source-copier statistic",response,ac_OMG_S,none,single_index
detect_as,GBT_R,SIM,supporting,"psi, r or estimated xi","stat,pval,flag",yes,package_pvalue_flag,Support Only,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Response-based GBT,response,as_GBT_R,none,single_index
detect_as,GBT_RT,SIM,supporting,"psi, r, y or estimated xi","stat,pval,flag",yes,package_pvalue_flag,Support Only,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Response-time GBT similarity,score_time,as_GBT_RT,none,single_index
detect_as,GBT_S,SIM,supporting,"psi, x or estimated xi","stat,pval,flag",yes,package_pvalue_flag,Support Only,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,"Unconditional GBT, score-based",response,as_GBT_S,none,single_index
detect_as,GBT_ST,SIM,supporting,"psi, x, y or estimated xi","stat,pval,flag",yes,package_pvalue_flag,Support Only,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Score-time GBT similarity,score_time,as_GBT_ST,none,single_index
detect_as,M4_R,SIM,supporting,"psi, r or estimated xi","stat,pval,flag",yes,package_pvalue_flag,Support Only,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,M4 response-based similarity,response,as_M4_R,none,single_index
detect_as,M4_S,SIM,supporting,"psi, x or estimated xi","stat,pval,flag",yes,package_pvalue_flag,Support Only,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,M4 score-based similarity,response,as_M4_S,none,single_index
detect_as,OMG_R,SIM,supporting,"psi, r or estimated xi","stat,pval,flag",yes,package_pvalue_flag,Support Only,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Response-based omega,response,as_OMG_R,none,single_index
detect_as,OMG_RT,SIM,supporting,"psi, r, y or estimated xi","stat,pval,flag",yes,package_pvalue_flag,Support Only,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Response-time omega similarity,score_time,as_OMG_RT,none,single_index
detect_as,OMG_S,SIM,fallback_primary,"psi, x or estimated xi","stat,pval,flag",yes,package_pvalue_flag,Support Only,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,"Unconditional omega, score-based",response,as_OMG_S,none,single_index
detect_as,OMG_ST,SIM,preferred_primary,"psi, x, y or estimated xi","stat,pval,flag",yes,package_pvalue_flag,Support Only,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Score-time omega similarity,score_time,as_OMG_ST,none,single_index
detect_as,WOMG_R,SIM,supporting,"psi, r or estimated xi","stat,pval,flag",yes,package_pvalue_flag,Support Only,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Weighted response omega,response,as_WOMG_R,none,single_index
detect_as,WOMG_S,SIM,supporting,"psi, x or estimated xi","stat,pval,flag",yes,package_pvalue_flag,Support Only,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,"Weighted omega, score-based",response,as_WOMG_S,none,single_index
detect_pk,LR_S,PK,supporting,"ci, psi, x","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Lugannani-Rice approximation; package cutoff is numerical-stability cutoff,score,pk_LR_S,none,single_index
detect_pk,L_S,PK,fallback_primary,"ci, psi, x","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Score-based signed likelihood ratio,score,pk_L_S,none,single_index
detect_pk,L_ST,PK,preferred_primary,"ci, psi, x, y","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Constrained likelihood ratio using score + RT,score_time,pk_L_ST,none,single_index
detect_pk,L_T,PK,supporting,"ci, psi, y","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,RT signed likelihood ratio,time,pk_L_T,none,single_index
detect_pk,ML_S,PK,supporting,"ci, psi, x","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Modified signed likelihood ratio; package cutoff is numerical-stability cutoff,score,pk_ML_S,none,single_index
detect_pk,S_S,PK,supporting,"ci, psi, x","stat,pval,flag",yes,package_pvalue_flag,Flag,Use package-returned flag; PsyMAS does not recompute p-value thresholds.,aberrance alpha parameter; default 0.05 unless user sets alpha.,Signed score test,score,pk_S_S,none,single_index
