"examinee_id","item_id","item_position","initial_score","final_score","changed","wrong_to_right","right_to_wrong"
"E001","I01",1,1,1,0,0,0
"E001","I02",2,0,0,0,0,0
"E001","I03",3,0,0,0,0,0
"E001","I04",4,1,1,0,0,0
"E001","I05",5,1,1,0,0,0
"E001","I06",6,1,1,0,0,0
"E001","I07",7,1,1,0,0,0
"E001","I08",8,0,0,0,0,0
"E001","I09",9,1,1,0,0,0
"E001","I10",10,0,0,0,0,0
"E001","I11",11,0,0,0,0,0
"E001","I12",12,1,1,0,0,0
"E001","I13",13,1,1,0,0,0
"E001","I14",14,0,0,0,0,0
"E001","I15",15,0,0,0,0,0
"E001","I16",16,1,1,0,0,0
"E001","I17",17,1,1,0,0,0
"E001","I18",18,1,1,0,0,0
"E001","I19",19,1,1,0,0,0
"E001","I20",20,1,1,0,0,0
"E001","I21",21,0,0,0,0,0
"E001","I22",22,0,0,0,0,0
"E001","I23",23,1,1,0,0,0
"E001","I24",24,1,1,0,0,0
"E001","I25",25,1,1,0,0,0
"E001","I26",26,1,1,0,0,0
"E001","I27",27,1,1,0,0,0
"E001","I28",28,0,0,0,0,0
"E001","I29",29,0,0,0,0,0
"E001","I30",30,0,0,0,0,0
"E001","I31",31,0,0,0,0,0
"E001","I32",32,1,1,0,0,0
"E001","I33",33,1,1,0,0,0
"E001","I34",34,0,0,0,0,0
"E001","I35",35,1,1,0,0,0
"E001","I36",36,1,1,0,0,0
"E001","I37",37,1,1,0,0,0
"E001","I38",38,1,1,0,0,0
"E001","I39",39,1,1,0,0,0
"E001","I40",40,0,0,0,0,0
"E002","I01",1,1,1,0,0,0
"E002","I02",2,0,0,0,0,0
"E002","I03",3,0,0,0,0,0
"E002","I04",4,1,1,0,0,0
"E002","I05",5,0,0,0,0,0
"E002","I06",6,0,0,0,0,0
"E002","I07",7,0,0,0,0,0
"E002","I08",8,1,1,0,0,0
"E002","I09",9,0,0,0,0,0
"E002","I10",10,0,0,0,0,0
"E002","I11",11,0,0,0,0,0
"E002","I12",12,1,1,0,0,0
"E002","I13",13,0,0,0,0,0
"E002","I14",14,0,0,0,0,0
"E002","I15",15,0,0,0,0,0
"E002","I16",16,0,0,0,0,0
"E002","I17",17,0,0,0,0,0
"E002","I18",18,1,1,0,0,0
"E002","I19",19,0,0,0,0,0
"E002","I20",20,0,0,0,0,0
"E002","I21",21,0,0,0,0,0
"E002","I22",22,1,1,0,0,0
"E002","I23",23,0,0,0,0,0
"E002","I24",24,0,0,0,0,0
"E002","I25",25,0,0,0,0,0
"E002","I26",26,1,1,0,0,0
"E002","I27",27,0,1,1,1,0
"E002","I28",28,1,1,0,0,0
"E002","I29",29,0,0,0,0,0
"E002","I30",30,0,0,0,0,0
"E002","I31",31,1,0,1,0,1
"E002","I32",32,0,0,0,0,0
"E002","I33",33,0,0,0,0,0
"E002","I34",34,0,0,0,0,0
"E002","I35",35,0,0,0,0,0
"E002","I36",36,0,0,0,0,0
"E002","I37",37,0,0,0,0,0
"E002","I38",38,0,0,0,0,0
"E002","I39",39,0,0,0,0,0
"E002","I40",40,0,0,0,0,0
"E003","I01",1,1,1,0,0,0
"E003","I02",2,0,0,0,0,0
