examinee_id,item_id,item_position,initial_score,final_score,changed,wrong_to_right,right_to_wrong
E001,I01,1,1,1,0,0,0
E001,I02,2,0,0,0,0,0
E001,I03,3,0,0,0,0,0
E001,I04,4,1,1,0,0,0
E001,I05,5,1,1,0,0,0
E001,I06,6,1,1,0,0,0
E001,I07,7,1,1,0,0,0
E001,I08,8,0,0,0,0,0
E001,I09,9,1,1,0,0,0
E001,I10,10,0,0,0,0,0
E002,I01,1,1,1,0,0,0
E002,I02,2,0,0,0,0,0
E002,I03,3,0,0,0,0,0
E002,I04,4,1,1,0,0,0
E002,I05,5,0,0,0,0,0
E002,I06,6,0,0,0,0,0
E002,I07,7,0,0,0,0,0
E002,I08,8,1,1,0,0,0
E002,I09,9,0,0,0,0,0
E002,I10,10,0,0,0,0,0
