claim_id,proposed_claim,source_type,source_path,source_locator,run_id,generation_version,display_version,verification_status,limitation
C01,"Current distribution is v0.7.7","manifest","reproducibility/demo_manifest.json","package_software_version","9458ac0d-ff96-4659-8cc9-43ce86f036b8","0.7.6","0.7.7","verified","Report current UI distribution separately from snapshot generation version."
C02,"Saved result was generated with v0.7.6","manifest","reproducibility/demo_manifest.json","generation_software_version","9458ac0d-ff96-4659-8cc9-43ce86f036b8","0.7.6","0.7.7","verified","Do not describe Demo restoration as a new v0.7.7 detector run."
C03,"The saved run has a preserved run ID","manifest","reproducibility/demo_manifest.json","run_id","9458ac0d-ff96-4659-8cc9-43ce86f036b8","0.7.6","0.7.7","verified","Use this ID for focal-case database records."
C04,"Focal case uses supplied item parameters","snapshot input","case_332/session_input_metadata.json","item_parameter_count and item_parameter_preview","9458ac0d-ff96-4659-8cc9-43ce86f036b8","0.7.6","0.7.7","verified","mirt was not used in the saved run."
C05,"Examinee 332 has moderate RT evidence","SQLite output","case_332/domain_evidence.csv","Domain=RT; Strength and Strength_Rule","9458ac0d-ff96-4659-8cc9-43ce86f036b8","0.7.6","0.7.7","verified","CUMP and NT are the supporting hits."
C06,"Examinee 332 has strong TP evidence","SQLite output","case_332/domain_evidence.csv","Domain=TP; Strength and Strength_Rule","9458ac0d-ff96-4659-8cc9-43ce86f036b8","0.7.6","0.7.7","verified","One EDI family plus GBT family; variants are collapsed."
C07,"Examinee 332 has no eligible PK evidence","SQLite output","case_332/domain_evidence.csv","Domain=PK; Strength=none","9458ac0d-ff96-4659-8cc9-43ce86f036b8","0.7.6","0.7.7","verified","Do not infer preknowledge from compromised-item data alone."
C08,"Examinee 332 has unavailable CP evidence","SQLite output","case_332/domain_evidence.csv","Domain=CP; Available=0","9458ac0d-ff96-4659-8cc9-43ce86f036b8","0.7.6","0.7.7","verified","This is missing evidence, not a negative finding."
C09,"Examinee 332 priority is Critical / Expedited","SQLite output","case_332/governed_review.csv","Review_Priority and Review_Priority_Rule","9458ac0d-ff96-4659-8cc9-43ce86f036b8","0.7.6","0.7.7","verified","Priority is a workflow label for human review."
C10,"Human decision is blank in the saved run","SQLite output","case_332/master_results.csv","Human_Final_Decision","9458ac0d-ff96-4659-8cc9-43ce86f036b8","0.7.6","0.7.7","verified","Any tutorial adjudication must be labelled as a new action."
C11,"No new detector run was made","collection log","reproducibility/collection_metadata.json","new_detector_run_performed","9458ac0d-ff96-4659-8cc9-43ce86f036b8","0.7.6","0.7.7","verified","Materials are read-only extraction."
